t, xpos, ypos
0.649000,1.542190,-0.463207
0.650000,1.544381,-0.464214
0.651000,1.546569,-0.465207
0.652000,1.548754,-0.466184
0.653000,1.550936,-0.467145
0.654000,1.553115,-0.468091
0.655000,1.555290,-0.469022
0.656000,1.557463,-0.469937
0.657000,1.559633,-0.470837
0.658000,1.561800,-0.471721
0.659000,1.563964,-0.472590
0.660000,1.566125,-0.473443
0.661000,1.568282,-0.474280
0.662000,1.570437,-0.475102
0.663000,1.572588,-0.475908
0.664000,1.574736,-0.476698
0.665000,1.576881,-0.477473
0.666000,1.579023,-0.478232
0.667000,1.581162,-0.478976
0.668000,1.583298,-0.479703
0.669000,1.585430,-0.480415
0.670000,1.587559,-0.481111
0.671000,1.589685,-0.481791
0.672000,1.591807,-0.482456
0.673000,1.593926,-0.483105
0.674000,1.596042,-0.483738
0.675000,1.598155,-0.484355
0.676000,1.600264,-0.484956
0.677000,1.602370,-0.485541
0.678000,1.604473,-0.486110
0.679000,1.606572,-0.486664
0.680000,1.608667,-0.487201
0.681000,1.610760,-0.487723
0.682000,1.612849,-0.488229
0.683000,1.614934,-0.488718
0.684000,1.617016,-0.489192
0.685000,1.619094,-0.489650
0.686000,1.621169,-0.490092
0.687000,1.623241,-0.490518
0.688000,1.625309,-0.490927
0.689000,1.627373,-0.491321
0.690000,1.629433,-0.491699
0.691000,1.631491,-0.492061
0.692000,1.633544,-0.492406
0.693000,1.635594,-0.492736
0.694000,1.637640,-0.493050
0.695000,1.639683,-0.493347
0.696000,1.641722,-0.493629
0.697000,1.643757,-0.493894
0.698000,1.645788,-0.494143
0.699000,1.647816,-0.494377
0.700000,1.649840,-0.494594
0.701000,1.651860,-0.494795
0.702000,1.653876,-0.494980
0.703000,1.655889,-0.495148
0.704000,1.657898,-0.495301
0.705000,1.659902,-0.495438
0.706000,1.661904,-0.495558
0.707000,1.663901,-0.495663
0.708000,1.665894,-0.495751
0.709000,1.667883,-0.495823
0.710000,1.669869,-0.495879
0.711000,1.671850,-0.495919
0.712000,1.673828,-0.495943
0.713000,1.675801,-0.495951
0.714000,1.677771,-0.495943
0.715000,1.679736,-0.495918
0.716000,1.681698,-0.495878
0.717000,1.683655,-0.495821
0.718000,1.685609,-0.495749
0.719000,1.687558,-0.495660
0.720000,1.689503,-0.495555
0.721000,1.691444,-0.495434
0.722000,1.693381,-0.495297
0.723000,1.695314,-0.495144
